# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	828
#@/user_id	4ef5143e-acfc-4ed9-b93f-e786562bc1fe
a 	啊	c=6 d=2.38283 t=828
xing kui 	幸虧	c=1 d=0.657047 t=828
xing neng 	性能	c=4 d=0.970446 t=828
xiong 	熊	c=0 d=0.0603506 t=828
xiu ge 	秀個	c=1 d=0.985112 t=828
xu hang 	續航	c=0 d=0.1 t=819
xuan 	炫	c=0 d=0.1 t=813
xuan ran 	渲染	c=1 d=1 t=224
xuan ze 	選擇	c=0 d=0.1 t=542
xue shou 	血手	c=1 d=1 t=569
yan jin 	演進	c=1 d=1 t=722
yang zi 	樣子	c=1 d=1 t=798
yao 	要	c=2 d=1.83527 t=735
yao me 	要麼	c=2 d=1.94176 t=591
yao shi 	要是	c=1 d=1 t=815
yao wo 	要我	c=0 d=0.1 t=228
yao wo peng you 	要我朋友	c=1 d=1 t=229
ye 	也	c=2 d=0.814647 t=828
ye bu gan 	也不敢	c=1 d=1 t=444
ye ge zhong 	也各種	c=1 d=1 t=531
ye jin 	液金	c=2 d=1.29511 t=828
ye mei you 	也沒有	c=1 d=1 t=584
ye you ren 	也有人	c=1 d=1 t=750
yi ban 	一般	c=1 d=0.0914236 t=828
yi cha 	一查	c=1 d=1 t=433
yi dian 	一點	c=2 d=1.11707 t=703
yi dui 	一堆	c=1 d=1 t=249
yi gai er lun 	一概而論	c=1 d=1 t=457
yi ge 	一個	c=1 d=1.08509 t=537
yi hou 	以後	c=0 d=0.1 t=504
yi nian 	一年	c=1 d=0.810584 t=828
yi nian duo 	一年多	c=0 d=0.1 t=334
yi nian duo le 	一年多了	c=1 d=1 t=335
yi sheng 	一聲	c=0 d=0.1 t=619
yi si 	意思	c=1 d=0.0843665 t=828
yi xia 	一下	c=1 d=1 t=824
yi xie 	一些	c=1 d=1 t=267
yi zhang 	一張	c=1 d=1 t=732
yi zhi 	一直	c=1 d=1 t=743
yin hang 	銀行	c=1 d=1 t=789
yin qing 	引擎	c=3 d=2.89771 t=236
yin shen 	隱身	c=1 d=0.909373 t=828
ying xiao 	營銷	c=1 d=1 t=749
yong 	用	c=4 d=1.19613 t=828
yong de 	用的	c=2 d=0.413781 t=798
yong guo 	用過	c=2 d=1.56553 t=576
yong hu 	用戶	c=0 d=0.131822 t=554
yong hu deng lu 	用戶登錄	c=1 d=1 t=326
yong hu duo 	用戶多	c=1 d=1 t=555
yong lai 	用來	c=0 d=0.1 t=317
yong lai ce shi 	用來測試	c=1 d=1 t=318
yong le 	永樂	c=1 d=1 t=334
yong qi lai 	用起來	c=1 d=1 t=530
yong wu ke 	用無刻	c=1 d=0.694197 t=828
you 	有	c=2 d=1.39259 t=826
you cheng yi 	有誠意	c=1 d=1 t=648
you dian 	有點	c=1 d=1 t=388
you ge 	有個	c=1 d=1 t=316
you mei you 	有沒有	c=1 d=0.843665 t=828
you xi 	遊戲	c=0 d=0.1 t=243
you xian 	有線	c=1 d=1 t=502
yu 	與	c=0 d=0.1 t=287
yu e 	餘額	c=1 d=1 t=787
yu ju 	語句	c=0 d=0.0640824 t=828
yu liu 	預留	c=0 d=0.1 t=570
yu liu hong 	預留宏	c=1 d=1 t=571
yu yin 	語音	c=1 d=1 t=206
yun suan fu 	運算符	c=0 d=0.0937067 t=828
yun wei 	運維	c=2 d=1.99005 t=644
yun ying 	運營	c=0 d=0.1 t=726
yun ying de 	運營的	c=1 d=1 t=727
za le 	咋了	c=1 d=0.895834 t=828
za yang 	咋樣	c=0 d=0.1 t=765
za yang le 	咋樣了	c=1 d=1 t=766
zai xian 	在線	c=1 d=0.932394 t=828
zai yong 	在用	c=1 d=1 t=448
zao xin 	糟心	c=1 d=0.336928 t=820
zei 	賊	c=1 d=0.18957 t=827
zei ku xuan 	賊酷炫	c=1 d=1 t=828
zei shu fu 	賊舒服	c=1 d=1 t=495
zhai nan 	宅男	c=1 d=1 t=689
zhang hao 	帳號	c=2 d=1.956 t=320
zhe 	者	c=0 d=0.0960789 t=828
zhe 	這	c=0 d=0.1 t=819
zhe ge 	這個	c=5 d=1.80082 t=828
zhe me 	這麼	c=1 d=0.325373 t=761
zhe me duo ren 	這麼多人	c=1 d=1 t=210
zhe me shuang de me 	這麼爽的麼	c=1 d=1 t=762
zhe me shuo 	這麼說	c=1 d=1 t=230
zhe xie 	這些	c=1 d=1 t=482
zhe xu hang 	這續航	c=1 d=1 t=820
zhe zhong 	這種	c=1 d=1 t=565
zhen 	真	c=0 d=0.1 t=820
zhen de 	真的	c=2 d=1.38868 t=572
zhen shi 	真是	c=2 d=1.99005 t=242
zhen zao xin 	真糟心	c=1 d=1 t=821
zheng chang 	正常	c=0 d=0.0666977 t=828
zheng fu 	征服	c=0 d=0.1 t=287
zheng shu 	整數	c=1 d=0.869358 t=828
zheng ti 	整體	c=1 d=1 t=263
zheng yi 	整一	c=0 d=0.1 t=618
zheng yi ge 	整一個	c=1 d=1 t=619
zhi 	值	c=1 d=0.932394 t=828
zhi fu bao 	支付寶	c=3 d=2.51539 t=794
zhi hou 	之後	c=1 d=1 t=438
zhi jie 	直接	c=1 d=1 t=557
zhi li 	智力	c=0 d=0.1 t=321
zhi li kuai che 	智力快車	c=1 d=1 t=322
zhi qian 	之前	c=0 d=0.1 t=545
zhi ren 	之人	c=0 d=0.1 t=594
zhi yao 	只要	c=0 d=0.0852144 t=828
zhi you 	之憂	c=1 d=0.960789 t=828
zhi you 	只有	c=1 d=0.965605 t=828
zhong 	重	c=1 d=1 t=585
zhong xin 	重心	c=1 d=1 t=589
zhou 	軸	c=2 d=1.70822 t=405
zhu ce 	註冊	c=0 d=0.1 t=313
zhu ce yi ge 	註冊一個	c=1 d=1 t=314
zhu guan 	主觀	c=1 d=0.98692 t=479
zhuan men 	專門	c=1 d=1 t=317
zhuang tai 	狀態	c=1 d=1 t=769
zhui feng 	追風	c=0 d=0.0960789 t=828
zhui feng zhe 	追風者	c=1 d=0.965605 t=828
zi dong hua 	自動化	c=2 d=1.99005 t=643
zi ji 	自己	c=1 d=1 t=313
zong he 	綜合	c=2 d=1.91851 t=488
zou le 	走了	c=0 d=0.1 t=623
zu jian 	組件	c=1 d=0.680451 t=828
zui 	最	c=0 d=0.133454 t=729
zui hao 	最好	c=1 d=0.186742 t=828
zui hao de 	最好的	c=2 d=1.81465 t=513
zui hao de shi 	最好的是	c=1 d=1 t=486
zui hao kan de 	最好看得	c=1 d=0.737123 t=828
zui qi pa 	最奇葩	c=1 d=1 t=730
zui ta ma 	最他媽	c=1 d=1 t=511
zuo le 	做了	c=0 d=0.1 t=822
zuo xia jiao 	左下角	c=1 d=0.891366 t=828
